prospectno,FDD,MAXDPD24M,max_DPD_LFT,Total_Payments,TGT
718656,28FEB2015,0,,>24 Payment,0
718659,30JAN2015,54,54,>24 Payment,0
718671,18APR2015,26,27,>24 Payment,0
718678,31MAR2015,0,,>24 Payment,0
718679,31JAN2015,0,,19-24 Payment,0
718692,25MAR2015,0,,>24 Payment,0
718697,19FEB2015,0,,>24 Payment,0
718708,03FEB2015,0,,>24 Payment,0
718709,06FEB2015,0,62,>24 Payment,0
718712,31JAN2015,0,,>24 Payment,0
718723,31JAN2015,0,,>24 Payment,0
718728,31JAN2015,0,,>24 Payment,0
718737,28FEB2015,0,,>24 Payment,0
718738,10FEB2015,0,,>24 Payment,0
718749,27MAR2015,177,177,>24 Payment,1
718753,21FEB2015,0,,>24 Payment,0
718763,31JAN2015,0,,>24 Payment,0
718766,27MAR2015,0,,>24 Payment,0
718777,28FEB2015,0,,>24 Payment,0
718779,31JAN2015,0,,>24 Payment,0
718781,28FEB2015,0,,>24 Payment,0
718783,28FEB2015,16,16,>24 Payment,0
718784,21FEB2015,0,,>24 Payment,0
718794,28FEB2015,25,25,>24 Payment,0
718796,17MAR2015,0,,>24 Payment,0
718798,20FEB2015,24,24,>24 Payment,0
718799,31JAN2015,0,,>24 Payment,0
718800,28FEB2015,30,31,>24 Payment,0
718809,31JAN2015,0,,>24 Payment,0
718828,30APR2015,27,27,19-24 Payment,0
718837,31MAR2015,27,27,>24 Payment,0
718838,31MAR2015,27,27,>24 Payment,0
718845,28FEB2015,149,149,>24 Payment,1
718861,16FEB2015,0,,>24 Payment,0
718862,31JAN2015,0,,>24 Payment,0
718863,31JAN2015,0,,>24 Payment,0
718868,31JAN2015,0,,>24 Payment,0
718870,31MAR2015,27,27,>24 Payment,0
718871,25MAR2015,0,,>24 Payment,0
718875,31JAN2015,0,,>24 Payment,0
718876,31MAR2015,27,85,>24 Payment,0
718878,28JAN2015,0,,>24 Payment,0
718882,28FEB2015,25,25,>24 Payment,0
718887,25FEB2015,0,,>24 Payment,0
718892,12FEB2015,0,,>24 Payment,0
718899,29JAN2015,0,,>24 Payment,0
718902,28FEB2015,0,,>24 Payment,0
718903,17MAR2015,0,,>24 Payment,0
718906,31JAN2015,0,,>24 Payment,0
718909,23FEB2015,0,,>24 Payment,0
718910,21MAR2015,0,,>24 Payment,0
718913,18FEB2015,0,,>24 Payment,0
718916,18FEB2015,0,,>24 Payment,0
718924,12FEB2015,25,86,>24 Payment,0
718936,23FEB2015,0,,>24 Payment,0
718939,18FEB2015,0,,>24 Payment,0
718945,16FEB2015,0,,>24 Payment,0
718948,28FEB2015,0,,>24 Payment,0
718950,25MAR2015,88,208,>24 Payment,1
718951,17MAR2015,0,27,>24 Payment,0
718962,31JAN2015,0,,>24 Payment,0
718967,31JAN2015,0,,>24 Payment,0
718978,05FEB2015,0,,>24 Payment,0
718980,31JAN2015,0,,>24 Payment,0
718983,30APR2015,0,,>24 Payment,0
718986,31JAN2015,0,31,>24 Payment,0
718987,31JAN2015,0,31,>24 Payment,0
718990,31MAY2015,27,27,>24 Payment,0
719009,19MAR2015,0,,>24 Payment,0
719011,31MAR2015,0,,>24 Payment,0
719013,28FEB2015,31,31,>24 Payment,0
719014,28FEB2015,57,57,>24 Payment,0
719021,31JAN2015,0,,>24 Payment,0
719023,31JAN2015,0,,>24 Payment,0
719025,16FEB2015,0,,>24 Payment,0
719029,31JAN2015,0,17,>24 Payment,0
719031,16FEB2015,0,,>24 Payment,0
719051,28FEB2015,0,,>24 Payment,0
719058,13MAR2015,0,,>24 Payment,0
719061,26MAR2015,26,26,>24 Payment,0
719062,28FEB2015,0,,>24 Payment,0
719064,21FEB2015,0,,>24 Payment,0
719068,31JAN2015,0,,>24 Payment,0
719069,31JAN2015,0,,>24 Payment,0
719077,25FEB2015,25,25,>24 Payment,0
719083,26FEB2015,31,31,>24 Payment,0
719086,12FEB2015,0,,>24 Payment,0
719088,31MAR2015,0,,>24 Payment,0
719105,10FEB2015,0,,>24 Payment,0
719106,31JAN2015,0,,>24 Payment,0
719111,16FEB2015,0,,>24 Payment,0
719118,28FEB2015,27,27,>24 Payment,0
719120,22MAY2015,0,58,>24 Payment,0
719123,31JAN2015,0,,>24 Payment,0
719124,28FEB2015,17,17,>24 Payment,0
719130,31JAN2015,0,,>24 Payment,0
719134,31JAN2015,0,31,>24 Payment,0
719135,31JAN2015,0,86,>24 Payment,0
719154,31JAN2015,0,,>24 Payment,0
719155,30APR2015,0,,>24 Payment,0
719161,12MAR2015,27,27,>24 Payment,0
719169,31JAN2015,0,,>24 Payment,0
719171,31JAN2015,0,,>24 Payment,0
719176,31JAN2015,0,,>24 Payment,0
719179,05MAR2015,0,,>24 Payment,0
719181,28FEB2015,0,,>24 Payment,0
719185,31JAN2015,0,,>24 Payment,0
719193,30MAR2015,0,,>24 Payment,0
719222,18APR2015,0,,>24 Payment,0
719228,24FEB2015,0,0,>24 Payment,0
719235,30APR2015,0,,>24 Payment,0
719237,31JAN2015,697,1455,>24 Payment,1
719238,31MAR2015,0,,>24 Payment,0
719239,26MAR2015,57,88,>24 Payment,0
719240,26FEB2015,0,,>24 Payment,0
719245,31JAN2015,0,27,>24 Payment,0
719255,31MAR2015,0,,>24 Payment,0
719265,28FEB2015,0,,>24 Payment,0
719268,28FEB2015,0,,19-24 Payment,0
719273,31MAR2015,0,,>24 Payment,0
719293,25FEB2015,57,57,>24 Payment,0
719314,31MAR2015,0,,>24 Payment,0
719318,28FEB2015,61,61,>24 Payment,1
719319,26MAR2015,0,,>24 Payment,0
719327,28FEB2015,0,,>24 Payment,0
719332,26FEB2015,0,,>24 Payment,0
719341,28FEB2015,0,0,>24 Payment,0
719349,28FEB2015,0,,>24 Payment,0
719360,31MAR2015,0,,>24 Payment,0
719366,28FEB2015,0,,>24 Payment,0
719380,28FEB2015,27,27,>24 Payment,0
719382,31MAR2015,61,61,>24 Payment,1
719388,15MAY2015,0,,>24 Payment,0
